instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,leaflets,price reduction,cnt,day_of_month,season_sin,season_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos
207,3.0,0,7,0,2,1,1,30.8667,44.98134677911706,0.200258,692,0,4590,26,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
71,1.0,0,3,0,6,0,1,13.1667,51.832119737491126,0.220775,580,0,2132,12,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
60,1.0,0,3,0,2,1,1,10.6667,44.237894524862256,0.216425,971,0,1851,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
477,2.0,1,4,0,6,0,1,22.8,63.09083933758443,0.283587,524,0,6624,21,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
44,1.0,0,2,0,6,0,1,12.6609,34.34614311041662,0.260883,686,1,1589,13,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
604,3.0,1,8,0,6,0,2,26.1333,83.85550031035595,0.228858,644,0,5255,26,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
199,3.0,0,7,0,1,1,1,29.8667,59.054682551113146,0.215804,840,0,4458,18,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
576,3.0,1,7,0,6,0,1,28.8667,55.549635921247344,0.170396,523,0,6597,29,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
594,3.0,1,8,0,4,1,1,28.7667,42.21987985974717,0.141796,755,0,7605,16,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
567,3.0,1,7,0,5,1,2,26.6333,83.64315821270664,0.208967,685,0,5870,20,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
411,1.0,1,2,0,3,1,1,13.9333,43.75993362078965,0.1816,998,1,4169,15,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
513,2.0,1,5,0,6,0,1,27.6,64.89638444880912,0.215171,1005,0,6591,27,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
378,1.0,1,1,0,5,1,1,10.9667,40.73284789499645,0.378108,911,0,3214,13,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
236,3.0,0,8,0,3,1,1,26.9333,53.1598314008843,0.1775585,935,0,5130,24,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419
503,2.0,1,5,0,4,1,1,23.7333,42.326050908571816,0.229475,882,0,7384,17,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
131,2.0,0,5,0,3,1,1,21.7,56.71802728328298,0.120642,549,0,4182,11,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
486,2.0,1,4,0,1,1,2,18.5667,48.69886296287328,0.171638,628,0,5572,30,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
424,1.0,1,2,0,2,1,1,14.3667,26.500191821642833,0.193417,595,0,4363,28,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
456,2.0,1,3,0,6,0,2,16.9667,70.15395439360782,0.250617,538,0,6235,31,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
550,3.0,1,7,0,2,1,1,31.2333,38.76785502617314,0.126237,790,0,6660,3,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
615,3.0,1,9,0,4,1,2,27.8667,79.34151007605315,0.142421,598,1,6203,6,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
321,4.0,0,11,0,4,1,2,13.6667,49.44231521712808,0.3053619999999999,532,0,3053,17,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
384,1.0,1,1,0,3,1,1,7.6,39.458285484136155,0.220158,637,0,3292,19,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
656,4.0,1,10,0,3,1,1,18.2333,46.73599901157685,0.101371,492,1,7461,17,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
124,2.0,0,5,0,3,1,2,16.5667,69.99463409225028,0.328996,569,0,2633,4,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
338,4.0,0,12,0,6,0,1,13.2333,74.93356343433392,0.0839583,998,1,3485,4,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
119,2.0,0,4,0,5,1,1,20.4,34.306886588162115,0.240063,911,1,4595,29,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
77,1.0,0,3,0,5,1,1,21.6,42.99099011831764,0.231017,799,0,3239,18,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
623,3.0,1,9,0,5,1,1,25.3333,61.76312767419127,0.103863,918,0,8009,14,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146
468,2.0,1,4,0,4,1,1,15.9,35.47527795019775,0.290429,765,0,5409,12,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
75,1.0,0,3,0,3,1,2,14.6087,75.0213807844422,0.203117,837,0,2192,16,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
501,2.0,1,5,0,2,1,2,24.4667,77.32336795469696,0.147392,779,0,5115,15,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
3,1.0,0,1,0,1,1,1,7.8546,31.781978452247888,0.248309,829,0,1349,3,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
294,4.0,0,10,0,5,1,1,17.1,49.22997311947876,0.221396,918,0,4304,21,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
637,4.0,1,9,0,5,1,2,24.7667,63.99361189319677,0.164179,658,0,7415,28,-2.4492935982947064e-16,1.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146
270,4.0,0,9,0,2,1,2,25.4667,88.90072815750533,0.118171,903,1,4120,27,-2.4492935982947064e-16,1.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
454,2.0,1,3,0,4,1,1,19.7667,32.02338057286482,0.31965,956,0,6133,29,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2,1.0,0,1,0,6,0,2,14.5391,64.76943803268743,0.2485389999999999,837,1,801,2,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
600,3.0,1,8,0,3,1,1,26.7,62.34725962708853,0.0702833,553,0,7375,22,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419
231,3.0,0,8,0,5,1,2,27.4,68.1890889810256,0.139308,687,0,4153,19,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
694,4.0,1,11,0,6,0,1,11.1333,46.73599901157685,0.376871,496,0,2277,24,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
440,1.0,1,3,0,4,1,1,22.3,49.9202761212007,0.149883,624,0,6192,15,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
496,2.0,1,5,0,4,1,1,20.2333,46.4152294913349,0.314063,550,0,6572,10,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
517,2.0,1,5,0,4,1,1,27.2,38.87415353123889,0.195279,986,0,7338,31,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
692,4.0,1,11,1,4,0,1,13.6,50.02657462626645,0.0528708,535,0,2425,22,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
639,4.0,1,9,0,6,0,1,21.0667,50.3982370252733,0.134958,952,0,6889,30,-2.4492935982947064e-16,1.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
612,3.0,1,9,1,1,0,1,28.3,76.84540705062435,0.151121,469,0,6034,3,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
87,2.0,0,3,0,1,1,1,10.5739,14.562767737766432,0.212204,870,0,2028,28,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
300,4.0,0,10,0,4,1,2,18.8,79.66015067876822,0.197763,518,0,2659,27,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
636,4.0,1,9,0,4,1,2,26.0,64.09978294202143,0.134342,472,0,7393,27,-2.4492935982947064e-16,1.0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
663,4.0,1,10,0,3,1,1,23.5,57.142838934822706,0.0727791999999999,707,0,7693,24,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
629,3.0,1,9,0,4,1,1,21.8667,54.859205463284326,0.118167,990,1,7720,20,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
274,4.0,0,10,0,6,0,2,16.4,72.11894726243113,0.292296,628,0,2429,1,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
127,2.0,0,5,0,6,0,1,20.8,45.03449603164994,0.16045,1014,0,4714,7,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
93,2.0,0,4,0,6,0,1,15.1333,37.22780126513065,0.182213,829,0,3249,3,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
525,2.0,1,6,0,5,1,1,25.9667,35.687747504088165,0.1753829999999999,968,0,7736,8,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
187,3.0,0,7,0,3,1,1,28.8,70.79123559903796,0.149883,780,0,4629,6,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
269,4.0,0,9,0,1,1,2,25.9667,84.17414091307103,0.1107,495,1,4630,26,-2.4492935982947064e-16,1.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
390,1.0,1,1,0,3,1,1,11.7667,58.098760742967926,0.161071,465,0,4270,25,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
551,3.0,1,7,1,3,0,1,31.5667,44.71585542893487,0.13495,702,0,7403,4,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
564,3.0,1,7,0,2,1,1,32.7333,40.52037834110604,0.114429,809,0,6786,17,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
463,2.0,1,4,0,6,0,1,17.5,8.443975971949431,0.274871,875,0,6857,7,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
669,4.0,1,10,0,2,1,2,12.7273,81.25819702950486,0.213009,846,0,1096,30,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
73,1.0,0,3,0,1,1,1,13.0087,39.38907674522645,0.136926,926,0,2046,14,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
202,3.0,0,7,0,4,1,2,32.6,64.15293219455431,0.222021,788,0,3784,21,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
610,3.0,1,9,0,6,0,2,30.1333,57.40833028500491,0.113187,823,0,6140,1,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
397,1.0,1,2,0,3,1,1,18.7667,40.78599714752933,0.189067,787,0,4579,1,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
659,4.0,1,10,0,6,0,1,19.3667,49.07065281812123,0.1175369999999999,988,0,8090,20,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
507,2.0,1,5,0,1,1,2,23.9333,67.31224978746673,0.233204,967,0,4359,21,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
641,4.0,1,10,0,2,1,3,23.6333,87.14820484257243,0.104475,499,0,4639,2,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
334,4.0,0,11,0,3,1,1,13.0,54.221924257854184,0.271158,832,1,3613,30,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
668,4.0,1,10,0,1,1,3,17.6,88.21029769954231,0.3582,1028,1,22,29,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
363,1.0,0,12,0,4,1,1,9.9333,49.22997311947876,0.1194119999999999,728,0,2423,29,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
526,2.0,1,6,0,6,0,1,28.4333,31.757761766441536,0.144287,593,0,7498,9,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
597,3.0,1,8,0,6,0,2,25.4333,67.31224978746673,0.08645,540,0,4549,19,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
12,1.0,0,1,0,3,1,1,6.9091,52.46455760576001,0.304627,889,0,1162,12,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
227,3.0,0,8,0,1,1,1,26.6333,66.80822806509956,0.208954,815,0,4338,15,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336
585,3.0,1,8,0,2,1,2,29.4333,65.74613520812967,0.116908,714,0,7273,7,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
442,1.0,1,3,0,5,0,2,20.5667,72.38443861261334,0.110704,773,1,7836,17,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
645,4.0,1,10,0,6,0,1,22.1667,60.701034817221384,0.268025,755,0,7965,6,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
519,2.0,1,6,0,6,0,1,23.3333,46.04356709232803,0.1865619999999999,743,0,8120,2,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
1,1.0,0,1,0,6,0,2,13.7667,78.75725066691479,0.160446,755,0,985,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
672,4.0,1,11,0,5,1,1,14.2,42.59154225875402,0.266175,578,0,5847,2,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
315,4.0,0,11,1,4,0,1,12.9667,32.92615312847717,0.314675,617,0,3368,11,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
161,2.0,0,6,0,5,1,1,30.2,53.1598314008843,0.1405539999999999,840,0,4586,10,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
553,3.0,1,7,0,5,1,1,33.1333,33.510285081374434,0.146142,797,0,6207,6,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
403,1.0,1,2,0,2,1,1,14.1667,39.29896518277863,0.147379,821,0,4375,7,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
339,4.0,0,12,0,1,1,2,15.4333,81.4656957899929,0.0622083,628,0,3811,5,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
506,2.0,1,5,0,6,0,1,24.8333,43.65376257196499,0.254367,783,0,7129,20,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
465,2.0,1,4,0,1,1,1,19.5667,16.516162088650912,0.358196,585,1,5585,9,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
36,1.0,0,2,0,6,0,2,9.3333,94.4769387050191,0.161079,707,0,1005,5,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
725,1.0,1,12,1,2,0,2,11.6522,67.31224978746673,0.168726,699,0,1013,25,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
56,1.0,0,2,0,5,1,2,14.5739,67.31224978746673,0.346539,493,0,1461,25,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
263,3.0,0,9,0,2,1,2,22.4667,88.36961800089985,0.134954,736,0,3641,20,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
132,2.0,0,5,0,4,1,1,21.4,46.73599901157685,0.189667,983,0,4864,12,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
188,3.0,0,7,0,4,1,1,30.0,46.73599901157685,0.1592,723,0,4592,7,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
420,1.0,1,2,0,5,1,2,16.3,70.04778334478316,0.237567,944,0,3487,24,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
449,2.0,1,3,0,6,0,2,20.1,88.90072815750533,0.1927829999999999,618,0,3372,24,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
145,2.0,0,5,0,3,1,1,26.4333,64.79021339998445,0.1542329999999999,702,0,4978,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
462,2.0,1,4,0,5,1,1,16.1333,46.73599901157685,0.300388,603,0,6460,6,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
427,1.0,1,3,0,5,1,2,14.1333,59.79813480536795,0.144904,867,0,3194,2,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
406,1.0,1,2,0,5,1,2,11.2333,44.8751757302924,0.1169289999999999,764,0,3831,10,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
401,1.0,1,2,0,6,0,2,10.6333,63.72812054301458,0.175996,769,0,2947,5,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
402,1.0,1,2,0,1,1,1,11.3044,55.348764885295765,0.1538,750,0,3784,6,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
160,2.0,0,6,0,4,1,2,32.3333,48.48639340898286,0.149883,906,0,3915,9,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
171,2.0,0,6,0,1,1,2,25.4,71.16302545428591,0.155475,1018,0,4010,20,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
112,2.0,0,4,0,5,1,2,13.4667,69.03871228410507,0.219521,540,1,1683,22,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
262,3.0,0,9,0,1,1,2,21.9667,63.99361189319677,0.151742,912,0,4539,19,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
348,4.0,0,12,0,2,1,2,12.7,60.64788556468851,0.0609583,781,1,3740,14,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
518,2.0,1,6,0,5,1,2,26.1667,72.33141681632155,0.237563,853,1,4127,1,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
265,3.0,0,9,0,4,1,2,25.1333,91.02491387144511,0.128125,919,0,4795,22,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
324,4.0,0,11,0,6,0,2,18.5333,63.30318143523375,0.18595,1032,1,3520,20,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
405,1.0,1,2,0,4,1,1,10.6,47.68979190219518,0.194037,1010,0,3830,9,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
45,1.0,0,2,0,1,1,1,16.6,23.95106699992225,0.417908,949,1,1913,14,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
314,4.0,0,11,0,3,1,2,15.2,79.71317247506,0.189067,684,1,2933,10,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
676,4.0,1,11,0,2,1,1,11.2333,48.327073107625324,0.173513,677,0,5686,6,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
360,1.0,0,12,1,1,0,1,12.8696,40.663639156086745,0.239465,465,0,1317,26,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
353,4.0,0,12,0,1,1,1,11.0667,57.302159236180245,0.172896,703,0,3403,19,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
664,4.0,1,10,0,4,1,2,22.0,78.06694766519286,0.124375,492,0,7359,25,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
